금연구역명,금연구역범위상세,시도명,시군구명,금연구역구분,금연구역지정근거명,소재지도로명주소,관리기관명,위도,경도,데이터기준일자
배산한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 신동로 30-1 (신동),전라북도 익산시,35.95741158,126.955895,2022-03-09
보화당한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 평동로 1길 26-5 (인화동1가),전라북도 익산시,35.933657,126.952648,2022-03-09
김한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,"전라북도 익산시 중앙로 46, 1층 (갈산동)",전라북도 익산시,35.938463,126.9517963,2022-03-09
보생한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 함열읍 와리3길 43,전라북도 익산시,36.08166783,126.9617926,2022-03-09
제창한의원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 중앙로 22-112 (중앙동1가),전라북도 익산시,35.938908,126.9490929,2022-03-09
마디한방병원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 고봉로 275-5 (영등동),전라북도 익산시,35.956425,126.969881,2022-03-09
의료법인경영의료재단 e조은요양병원,시설전체,전라북도,익산시,의료기관,국민건강증진법제9조,전라북도 익산시 평동로 618 (인화동1가),전라북도 익산시,35.93207595,126.9471852,2022-03-09
여산초등학교,시설전체,전라북도,익산시,초등학교,국민건강증진법제9조,전라북도 익산시 동헌길 14,전라북도 익산시,36.059006,127.087194,2022-03-09
샘학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,전라북도 익산시 선화로 길 40 (2층일부) (부송동),전라북도 익산시,35.957163,126.994066,2022-03-09
고운손피아노음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 궁동로 124 , 4층 (부송동,국민약국)",전라북도 익산시,35.962429,126.984888,2022-03-09
e독서실,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 0길 22 , (3층) (영등동)",전라북도 익산시,35.955785,126.972482,2022-03-09
라이트하우스영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 부송1로 67-4 , (2층) (부송동,익산부송동우체국)",전라북도 익산시,35.957882,126.9896342,2022-03-09
이지영어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 함열읍 함열중앙로 70 , 외4필지(2층일부) (함열읍 형제슈퍼)",전라북도 익산시,36.0775739,126.964948,2022-03-09
더오름학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 선화로 길 44 , 2층 (부송동,주택)",전라북도 익산시,35.957633,126.994051,2022-03-09
예솔한문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 금마면 미륵사지로 길 30 , 외2필지(2층일부) (금마면 늘푸른약국)",전라북도 익산시,35.989378,127.052677,2022-03-09
셀파우등생교실부송스마트학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 무왕로 5길 12 , 707동 201호 (부송동, 부송동제일아파트)",전라북도 익산시,35.96788302,126.9637429,2022-03-09
에이든(AIDEN)어학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 약촌로 237 , 4층 (영등동)",전라북도 익산시,35.954948,126.973441,2022-03-09
영등건국입시학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 43 , 520동 203호 (영등동, 영등3차제일아파트)",전라북도 익산시,35.961027,126.974915,2022-03-09
로드맵수학학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 98-13 , 301호 (모현동1가)",전라북도 익산시,35.945932,126.944025,2022-03-09
퍼스트학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 오산면 선화로 42-12 , 204호 (오산면 장신휴먼시아2단지)",전라북도 익산시,35.948711,126.931901,2022-03-09
라파음악학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 함열읍 함열중앙로 61 , 2층 (함열읍",전라북도 익산시,36.07817211,126.964203,2022-03-09
모현창조의아침미술학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고현로 길 4 , 403호 (모현동1가)",전라북도 익산시,35.945955,126.943041,2022-03-09
홍익학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 배산로 4길 3 , 3층 (모현동1가)",전라북도 익산시,35.945955,126.939486,2022-03-09
속시원한학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 하나로 462 , 3층 (어양동, 하나정형외과)",전라북도 익산시,35.961559,126.981575,2022-03-09
아하과학전문학원,시설전체,전라북도,익산시,학원,국민건강증진법제9조,"전라북도 익산시 고봉로 4길 7 , 성하빌딩 2층 (영등동)",전라북도 익산시,35.953482,126.970724,2022-03-09
